test,subject,expected,actual,result,comments
SAVR29,TLS fields,"all present + non-null: sni, tls_version, tls_cipher_suite, tls_key_exchange_algo",absent,NOT_DETECTED,no entry for process_name=Cursor.exe in detected_agents.json this window
SAVR29,Process fields,"all present + non-null: pid, process_name, process_path, agent_name, agent_id, confidence",absent,NOT_DETECTED,no entry for process_name=Cursor.exe in detected_agents.json this window
SAVR29,Device snapshot fields,"all present + non-null: hostname, os_name, os_version, network_adapters, route_table",absent,NOT_DETECTED,no entry for process_name=Cursor.exe in detected_agents.json this window
SAVR40,secureai,avg CPU < 3.0%,avg CPU = 1.222%,PASS,CPU idle average 1.222% is below threshold 3.0%
SAVR40,secureai,total IO reads < 100.0 MB,total IO reads = 20.82 MB,PASS,IO reads 20.82 MB are below threshold 100.0 MB
SAVR40,secureai,memory slope < 500.0 KB/hr,Working Set start=17.2 MB end=18.4 MB delta=1272.0 KB slope=1727.2 KB/hr,FAIL,Memory slope 1727.2 KB/hr exceeds threshold ±500.0 KB/hr
SAVR43_1,registration sequence,all 6 milestones,"missing: auth_request, auth_response, heartbeat_ok",NOT_DETECTED,registration/auth sequence not (fully) in run window; start the window at service install/restart to exercise it
SAVR43_1,registration accepted,success=true,false/unparsed,FAIL,server did not confirm success
SAVR43_1,authentication accepted,success=true,not seen,NOT_DETECTED,response line not in run window
SAVR43_1,zero-agent precondition,0 AI processes in all scans,no scans in window,NOT_DETECTED,no [SCANNER] Scan complete lines before registration
SAVR43_2,heartbeat request,parseable JSON payload,,NOT_DETECTED,no parseable Heartbeat Request data line in the run window
SAVR43_3,agent: ollama.exe (2026-07-30T13:56:45.872302Z),event_type=agent_detected,None,FAIL,unexpected event type
SAVR43_3,agent: ollama.exe (2026-07-30T13:56:45.872302Z),13 combined fields non-null,"missing/null: os_name, os_version, logged_in_user, network_adapters, route_table, working_set_bytes, thread_count, handle_count, process_start_time, flow_id, src_ip, dst_ip, bytes_out",FAIL,process/flow fields absent from combined event (Issue 3 regression)
